--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 2357649 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Dataset Columns: Index(['original_dataset', 'fwd_iat_mean', 'fwd_iat_std', 'bwd_iat_mean',
       'protocol', 'attack_category', 'duration', 'is_attack', 'bwd_iat_std'],
      dtype='object')
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 5)
X_test shape: (100000, 5)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 4.26 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 5 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(0.703356063456784), tensor(1, requires_grad=False): np.float64(1.729370768445901)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:  1290 | Batch Cost: 0.9895539 | Batch Acc: 0.3700000
Iter:  1300 | Batch Cost: 0.9129510 | Batch Acc: 0.7100000
Iter:  1310 | Batch Cost: 0.9813417 | Batch Acc: 0.4400000
Iter:  1320 | Batch Cost: 0.9667610 | Batch Acc: 0.4900000
Iter:  1330 | Batch Cost: 0.8987471 | Batch Acc: 0.5300000
Iter:  1340 | Batch Cost: 0.8390342 | Batch Acc: 0.7400000
Iter:  1350 | Batch Cost: 0.9129049 | Batch Acc: 0.4500000
Iter:  1360 | Batch Cost: 0.9841413 | Batch Acc: 0.3500000
Iter:  1370 | Batch Cost: 0.9621330 | Batch Acc: 0.4600000
Iter:  1380 | Batch Cost: 1.0113277 | Batch Acc: 0.4500000
Iter:  1390 | Batch Cost: 0.9724947 | Batch Acc: 0.3600000
Iter:  1400 | Batch Cost: 0.9520957 | Batch Acc: 0.4500000
Iter:  1410 | Batch Cost: 0.9014079 | Batch Acc: 0.4700000
Iter:  1420 | Batch Cost: 0.8817786 | Batch Acc: 0.6900000
Iter:  1430 | Batch Cost: 0.8168741 | Batch Acc: 0.7200000
Iter:  1440 | Batch Cost: 1.0458452 | Batch Acc: 0.2700000
Iter:  1450 | Batch Cost: 0.8528175 | Batch Acc: 0.7300000
Iter:  1460 | Batch Cost: 0.8575605 | Batch Acc: 0.7200000
Iter:  1470 | Batch Cost: 0.9494727 | Batch Acc: 0.6400000
Iter:  1480 | Batch Cost: 0.7858771 | Batch Acc: 0.7500000
Iter:  1490 | Batch Cost: 0.9212478 | Batch Acc: 0.7000000
Iter:  1500 | Batch Cost: 1.0083873 | Batch Acc: 0.4200000
Iter:  1510 | Batch Cost: 0.9094334 | Batch Acc: 0.6900000
Iter:  1520 | Batch Cost: 0.9154651 | Batch Acc: 0.6600000
Iter:  1530 | Batch Cost: 0.9446116 | Batch Acc: 0.4100000
Iter:  1540 | Batch Cost: 1.0084469 | Batch Acc: 0.4000000
Iter:  1550 | Batch Cost: 0.9243132 | Batch Acc: 0.4500000
Iter:  1560 | Batch Cost: 0.9450433 | Batch Acc: 0.7400000
Iter:  1570 | Batch Cost: 0.9373905 | Batch Acc: 0.5000000
Iter:  1580 | Batch Cost: 0.8168021 | Batch Acc: 0.7400000
Iter:  1590 | Batch Cost: 1.1914979 | Batch Acc: 0.3900000
Iter:  1600 | Batch Cost: 0.9821798 | Batch Acc: 0.4600000
Iter:  1610 | Batch Cost: 0.7910471 | Batch Acc: 0.7500000
Iter:  1620 | Batch Cost: 0.9425668 | Batch Acc: 0.4800000
Iter:  1630 | Batch Cost: 0.9771308 | Batch Acc: 0.4100000
