--- Starting Data Preparation ---
Quickly scanning file to count rows...
File has 7042764 rows. Loading a random sample of 500000 rows.
Dataset loaded. Final shape: (500000, 9)
Features and labels extracted.
Data split into training and testing sets.
X_train shape: (400000, 8)
X_test shape: (100000, 8)
Features scaled.
Labels transformed.
Data preparation complete. Time elapsed: 50.06 seconds.

--- Starting Quantum Setup ---
Initializing lightning.qubit device with 8 qubits for multi-core performance.
Quantum device initialized.

--- Initializing Training ---
Training for 1 epoch (4000 iterations for a training set of size 400000).
Validation set created with 500 data points.

Class weights computed for handling imbalance: {tensor(-1, requires_grad=False): np.float64(309.59752321981426), tensor(1, requires_grad=False): np.float64(0.5008088062220486)}
Parameters initialized. Starting training for 4000 iterations with batch size 100.
Iter:  2450 | Batch Cost: 1.3504547 | Batch Acc: 0.0000000
Iter:  2460 | Batch Cost: 0.6587338 | Batch Acc: 0.9900000
Iter:  2470 | Batch Cost: 1.4867837 | Batch Acc: 0.0000000
Iter:  2480 | Batch Cost: 1.4214717 | Batch Acc: 0.0000000
Iter:  2490 | Batch Cost: 0.4351817 | Batch Acc: 1.0000000
Iter:  2500 | Batch Cost: 1.5366729 | Batch Acc: 0.0000000
Iter:  2510 | Batch Cost: 1.3774451 | Batch Acc: 0.0000000
Iter:  2520 | Batch Cost: 0.8084290 | Batch Acc: 1.0000000
Iter:  2530 | Batch Cost: 1.2797520 | Batch Acc: 0.0000000
Iter:  2540 | Batch Cost: 1.4058202 | Batch Acc: 0.0000000
Iter:  2550 | Batch Cost: 0.9782728 | Batch Acc: 0.9900000
Iter:  2560 | Batch Cost: 1.0285357 | Batch Acc: 0.0000000
Iter:  2570 | Batch Cost: 0.8135068 | Batch Acc: 1.0000000
Iter:  2580 | Batch Cost: 0.6266949 | Batch Acc: 1.0000000
Iter:  2590 | Batch Cost: 0.3059667 | Batch Acc: 1.0000000
Iter:  2600 | Batch Cost: 0.7750444 | Batch Acc: 1.0000000
Iter:  2610 | Batch Cost: 0.4049836 | Batch Acc: 1.0000000
Iter:  2620 | Batch Cost: 0.0594622 | Batch Acc: 1.0000000
Iter:  2630 | Batch Cost: 0.6881065 | Batch Acc: 1.0000000
Iter:  2640 | Batch Cost: 0.8714625 | Batch Acc: 1.0000000
Iter:  2650 | Batch Cost: 0.6805407 | Batch Acc: 0.9900000
Iter:  2660 | Batch Cost: 1.3678379 | Batch Acc: 0.0000000
Iter:  2670 | Batch Cost: 0.7966228 | Batch Acc: 1.0000000
Iter:  2680 | Batch Cost: 0.1375625 | Batch Acc: 1.0000000
Iter:  2690 | Batch Cost: 0.8928109 | Batch Acc: 1.0000000
Iter:  2700 | Batch Cost: 0.8256920 | Batch Acc: 1.0000000
Iter:  2710 | Batch Cost: 0.6548304 | Batch Acc: 1.0000000
Iter:  2720 | Batch Cost: 0.6325329 | Batch Acc: 1.0000000
Iter:  2730 | Batch Cost: 0.4907698 | Batch Acc: 1.0000000
Iter:  2740 | Batch Cost: 1.0482413 | Batch Acc: 0.0100000
Iter:  2750 | Batch Cost: 1.9004771 | Batch Acc: 0.0000000
Iter:  2760 | Batch Cost: 0.9973032 | Batch Acc: 1.0000000
Iter:  2770 | Batch Cost: 0.5572121 | Batch Acc: 1.0000000
Iter:  2780 | Batch Cost: 1.6107814 | Batch Acc: 0.0000000
Iter:  2790 | Batch Cost: 0.9367885 | Batch Acc: 1.0000000
Iter:  2800 | Batch Cost: 0.2116586 | Batch Acc: 1.0000000
Iter:  2810 | Batch Cost: 0.0059662 | Batch Acc: 1.0000000
Iter:  2820 | Batch Cost: 0.9102593 | Batch Acc: 1.0000000
Iter:  2830 | Batch Cost: 1.0116421 | Batch Acc: 0.0000000
Iter:  2840 | Batch Cost: 1.3465824 | Batch Acc: 0.0000000
Iter:  2850 | Batch Cost: 0.5550173 | Batch Acc: 1.0000000
Iter:  2860 | Batch Cost: 0.0700827 | Batch Acc: 1.0000000
Iter:  2870 | Batch Cost: 0.2633350 | Batch Acc: 1.0000000
Iter:  2880 | Batch Cost: 0.5456732 | Batch Acc: 1.0000000
Iter:  2890 | Batch Cost: 0.6034271 | Batch Acc: 1.0000000
Iter:  2900 | Batch Cost: 0.7750529 | Batch Acc: 1.0000000
Iter:  2910 | Batch Cost: 0.2562790 | Batch Acc: 1.0000000
Iter:  2920 | Batch Cost: 1.0030101 | Batch Acc: 0.0200000
Iter:  2930 | Batch Cost: 1.2273125 | Batch Acc: 0.0000000
Iter:  2940 | Batch Cost: 0.9852269 | Batch Acc: 1.0000000
Iter:  2950 | Batch Cost: 0.2345460 | Batch Acc: 1.0000000
Iter:  2960 | Batch Cost: 0.8541777 | Batch Acc: 1.0000000
Iter:  2970 | Batch Cost: 1.2784545 | Batch Acc: 0.0000000
Iter:  2980 | Batch Cost: 0.9517309 | Batch Acc: 0.9900000
Iter:  2990 | Batch Cost: 1.3579095 | Batch Acc: 0.0000000
Iter:  3000 | Batch Cost: 0.4784154 | Batch Acc: 1.0000000
Iter:  3010 | Batch Cost: 1.1027227 | Batch Acc: 0.0000000
Iter:  3020 | Batch Cost: 0.5708551 | Batch Acc: 1.0000000
Iter:  3030 | Batch Cost: 0.5085428 | Batch Acc: 1.0000000
Iter:  3040 | Batch Cost: 0.4815988 | Batch Acc: 0.9900000
Iter:  3050 | Batch Cost: 1.5532689 | Batch Acc: 0.0000000
Iter:  3060 | Batch Cost: 1.2977732 | Batch Acc: 0.0000000
Iter:  3070 | Batch Cost: 0.4030626 | Batch Acc: 1.0000000
Iter:  3080 | Batch Cost: 0.5546226 | Batch Acc: 1.0000000
Iter:  3090 | Batch Cost: 0.8600659 | Batch Acc: 0.9900000
Iter:  3100 | Batch Cost: 0.9108659 | Batch Acc: 0.9900000
Iter:  3110 | Batch Cost: 0.5625692 | Batch Acc: 1.0000000
Iter:  3120 | Batch Cost: 0.1174153 | Batch Acc: 1.0000000
Iter:  3130 | Batch Cost: 0.0053099 | Batch Acc: 1.0000000
Iter:  3140 | Batch Cost: 1.0418565 | Batch Acc: 0.0100000
Iter:  3150 | Batch Cost: 1.3149665 | Batch Acc: 0.0100000
Iter:  3160 | Batch Cost: 2.7688022 | Batch Acc: 0.0000000
Iter:  3170 | Batch Cost: 1.9242241 | Batch Acc: 0.0100000
Iter:  3180 | Batch Cost: 1.2964594 | Batch Acc: 0.0000000
Iter:  3190 | Batch Cost: 0.7276020 | Batch Acc: 1.0000000
Iter:  3200 | Batch Cost: 1.3159463 | Batch Acc: 0.0000000
Iter:  3210 | Batch Cost: 0.8939540 | Batch Acc: 1.0000000
Iter:  3220 | Batch Cost: 0.8250435 | Batch Acc: 1.0000000
Iter:  3230 | Batch Cost: 0.3024637 | Batch Acc: 1.0000000
Iter:  3240 | Batch Cost: 0.5678355 | Batch Acc: 1.0000000
Iter:  3250 | Batch Cost: 1.1508412 | Batch Acc: 0.0000000
Iter:  3260 | Batch Cost: 2.0567353 | Batch Acc: 0.0000000
Iter:  3270 | Batch Cost: 1.4338512 | Batch Acc: 0.0000000
Iter:  3280 | Batch Cost: 1.3300669 | Batch Acc: 0.0000000
Iter:  3290 | Batch Cost: 1.4392319 | Batch Acc: 0.0000000
Iter:  3300 | Batch Cost: 1.4051120 | Batch Acc: 0.0100000
Iter:  3310 | Batch Cost: 2.0405608 | Batch Acc: 0.0000000
Iter:  3320 | Batch Cost: 1.3350739 | Batch Acc: 0.0000000
